Product Name,Processor,Operating System,Display,Warranty,Discount,Rating,Number of Ratings,Number of Reviews,RAM (GB),Storage (GB),Price (₹),Original Price (₹),Price-to-Performance Ratio
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,34,4.2,551,285,8,512.0,45990.0,70064.0,88.4423076923077
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ549WS Thi...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,32,4.2,302,339,16,512.0,44990.0,66990.0,85.20833333333333
SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,Intel Core i3 Processor (13th Gen),Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,33,4.5,676,228,8,512.0,37999.0,57499.0,73.075
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,AMD Ryzen 7 Octa Core Processor,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1Yr Warranty and 1 Yr Accidental Damage Protection,26,4.4,779,61,24,512.0,79990.0,108990.0,149.23507462686567
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVID...,AMD Ryzen 7 Octa Core Processor,Windows 11 Home Operating System,39.62 cm (15.6 inch) Display,1 Year Carry-in Warranty,22,4.2,587,47,8,512.0,54990.0,70990.0,105.75
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,AMD Ryzen 7 Octa Core Processor,Windows 11 Home Operating System,39.62 cm (15.6 inch) Display,1 Year Carry-in Warranty,22,4.2,587,47,16,512.0,58990.0,75990.0,111.72348484848484
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,39.62 cm (15.6 Inch) Display,2 Year Onsite Warranty,27,4.3,112,97,8,512.0,48990.0,67990.0,94.21153846153847
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,No Warranty,38,4.2,114,372,8,512.0,33990.0,55090.0,65.36538461538461
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,39.62 cm (15.6 inch) Display,2 Yr Warranty,34,4.2,784,144,16,512.0,37999.0,58390.0,71.96780303030303
MICROSOFT Laptop Go 3 Intel Core i5 12th Gen 1235U - (8 GB/256 GB SSD/Windows 11 Home) XK1-00045 Thin ...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,31.5 cm (12.4 Inch) Touchscreen Display,1 Year Onsite Warranty,14,4.2,68,7,8,256.0,68990.0,80999.0,261.32575757575756
"Acer Aspire Lite with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Ho...",Intel Core i5 Processor (12th Gen),Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Carry-in Warranty,30,4.2,50,6,16,512.0,44990.0,64999.0,85.20833333333333
HP OMEN Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce...,Intel Core i5 Processor (13th Gen),Windows 11 Operating System,40.89 cm (16.1 Inch) Display,1 Year Onsite Warranty,26,4.5,463,44,16,512.0,86990.0,118169.0,164.75378787878788
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,39.62 cm (15.6 Inch) Display,2 Year Onsite Warranty,29,4.3,112,97,16,512.0,49990.0,70990.0,94.6780303030303
SAMSUNG Galaxy Book4 Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGK-KS2IN / NP750XGK-...,Intel Core 5 Processor,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,23,4.3,103,10,16,512.0,69999.0,91989.0,132.57386363636363
MSI Modern 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO Busines...,Intel Core i3 Processor (12th Gen),Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Warranty Term,30,4.1,75,9,8,512.0,33990.0,48990.0,65.36538461538461
DELL Inspiron 15 3520 Intel Core i5 12th Gen Core i5 - (8 GB/512 GB SSD/Windows 11 Home) D560885WIN9S ...,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,27,3.7,30,4,8,512.0,46990.0,65104.0,90.36538461538461
"Acer Aspire Lite with Backlit Keyboard, Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Ho...",Intel Core i7 Processor (12th Gen),Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Carry-in Warranty,37,4.4,44,4,16,512.0,49990.0,79990.0,94.6780303030303
"Acer Aspire Lite with Backlit Keyboard, Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home...",Intel Core i7 Processor (12th Gen),Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Carry-in Warranty,31,4.4,44,4,16,1.0,52990.0,76990.0,3117.0588235294117
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) SFG14-73...,Intel Core Ultra 7 Processor,Windows 11 Operating System,35.56 cm (14 Inch) Touchscreen Display,1 Year Carry-in Warranty,16,4,68,7,16,1.0,84990.0,101999.0,4999.411764705882
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,AMD Ryzen 5 Quad Core Processor,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1Yr Warranty and 1 Yr Accidental Damage Protection,22,4.4,449,41,24,512.0,63990.0,82690.0,119.38432835820896
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,39.62 cm (15.6 Inch) Display,2 Year Onsite Warranty,30,4.3,465,46,16,512.0,52990.0,75990.0,100.35984848484848
HP AMD Athlon Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 255 Laptop,AMD Athlon Dual Core Processor,Windows 11 Operating System,39.62 cm (15.6 inch) Display,No Warranty,55,4,806,50,8,256.0,22499.0,50000.0,85.22348484848484
Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,42,4.1,184,20,16,512.0,39990.0,69990.0,75.73863636363636
Acer Aspire Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) AL15-53 Notebook,Intel Core i3 Processor (13th Gen),64 bit Windows 11 Home Operating System,39.62 cm (15.6 inch) Display,1 Year Warranty,25,4.4,15,3,8,512.0,31990.0,42990.0,61.51923076923077
HP Victus 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,Intel Core i5 Processor (13th Gen),Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,21,4.4,964,62,16,512.0,71990.0,92110.0,136.34469696969697
ASUS Vivobook Go 15 OLED AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK521...,AMD Ryzen 5 Quad Core Processor,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,42,4.4,339,184,8,512.0,42990.0,74990.0,82.67307692307692
ASUS Vivobook Go 15 OLED AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK523...,AMD Ryzen 5 Quad Core Processor,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,42,4.4,339,184,8,512.0,42990.0,74990.0,82.67307692307692
HP Chromebook Intel Celeron Quad Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Chromeb...,Intel Celeron Quad Core Processor,64 bit Chrome Operating System,35.56 cm (14 Inch) Touchscreen Display,1 Year Onsite warranty,47,4.1,875,135,4,,16990.0,32279.0,
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,AMD Ryzen 7 Octa Core Processor,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,22,4.5,60,4,16,512.0,83990.0,107990.0,159.0719696969697
HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,32,4.2,929,584,8,512.0,36990.0,54552.0,71.13461538461539
DELL Inspiron 16 5630 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) IN5630P8YRR001...,Intel Core i5 Processor (13th Gen),Windows 11 Operating System,40.64 cm (16 inch) Display,1-year warranty,31,4.3,9,0,16,512.0,61999.0,90860.0,117.42234848484848
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (8 GB/256 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,AMD Ryzen 3 Quad Core Processor,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Carry-in Warranty,42,3.9,57,6,8,256.0,25990.0,44990.0,98.4469696969697
ASUS Vivobook Go 15 OLED AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-LK54...,AMD Ryzen 5 Quad Core Processor,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,40,4.4,260,18,16,512.0,47990.0,79990.0,90.89015151515152
Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U - (8 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and...,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Carry-in Warranty,32,4.1,278,178,8,512.0,36990.0,54990.0,71.13461538461539
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A315-59-36HE Thin and L...,Intel Core i3 Processor (12th Gen),Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,25,4.3,824,57,8,512.0,32990.0,44100.0,63.44230769230769
DELL Vostro Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3520 Thin and Ligh...,Intel Core i3 Processor (12th Gen),64 bit Windows 11 Home Operating System,39.62 cm (15.6 inch) Display,No Warranty,35,4.1,236,17,8,512.0,31890.0,49198.0,61.32692307692308
Lenovo IdeaPad Slim 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) 14IRU8 Thin and...,Intel Core i3 Processor (13th Gen),Windows 11 Operating System,35.56 cm (14 Inch) Display,No Warranty,36,4.3,39,5,8,512.0,34990.0,55090.0,67.28846153846153
Apple MacBook AIR Apple M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7X4HN/A,Apple M2 Processor,Mac OS Operating System,34.54 cm (13.6 Inch) Display,1 Year Limited Warranty,19,4.7,166,917,16,256.0,79990.0,99900.0,294.08088235294116
Apple MacBook Air Apple M3 - (16 GB/1 TB SSD/macOS Sonoma) MXCR3HN/A,Apple M3 Processor,Mac OS Operating System,33.02 cm (13 Inch) Display,1 Year Onsite Warranty,No Discount,No Rating,No Ratings Count,No Reviews Count,16,1.0,174900.0,,10288.235294117647
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Ho...",Intel Core i7 Processor (13th Gen),64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,No Warranty,23,4.2,97,7,16,512.0,67860.0,89096.0,128.52272727272728
Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 11 Home) 14IGL7 Thin and Lig...,Intel Celeron Dual Core Processor,Windows 11 Operating System,35.56 cm (14 Inch) Display,No Warranty,43,4.2,298,14,8,512.0,23990.0,42590.0,46.13461538461539
MSI Modern 14 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-218IN Thi...,AMD Ryzen 7 Octa Core Processor,Windows 11 Operating System,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,30,4.5,49,6,16,512.0,42990.0,61990.0,81.42045454545455
